date,state,value
2019-11-11,New York City,2.8852534100505243
2019-11-18,Central Atlantic,2.9416060157155735
2019-11-18,New England,2.8514418466514946
2019-11-18,New York State,2.930335494582564
2019-11-18,New York City,2.8627123677845048
2019-11-25,Central Atlantic,2.9416060157155735
2019-11-25,New England,2.8514418466514946
2019-11-25,New York State,2.930335494582564
2019-11-25,New York City,2.840171325518485
2019-12-02,Central Atlantic,2.93794761557595
2019-12-02,New England,2.859152085656289
2019-12-02,New York State,2.9154346070274757
2019-12-02,New York City,2.8366390771078143
2019-12-09,Central Atlantic,2.9154346070274757
2019-12-09,New England,2.8366390771078143
2019-12-09,New York State,2.9154346070274757
2019-12-09,New York City,2.8253825728335764
2019-12-16,Central Atlantic,2.9154346070274757
2019-12-16,New England,2.8366390771078143
2019-12-16,New York State,2.9041781027532383
2019-12-16,New York City,2.8253825728335764
2019-12-23,Central Atlantic,2.93794761557595
2019-12-23,New England,2.8366390771078143
2019-12-23,New York State,2.93794761557595
2019-12-23,New York City,2.870408589930526
2019-12-30,Central Atlantic,2.949204119850188
2019-12-30,New England,2.8816650942047635
2019-12-30,New York State,2.93794761557595
2019-12-30,New York City,2.8816650942047635
2020-01-06,Central Atlantic,2.970830082972839
2020-01-06,New England,2.870313275654209
2020-01-06,New York State,2.9596615488263245
2020-01-06,New York City,2.9038188780937526
2020-01-13,Central Atlantic,2.9819986171193533
2020-01-13,New England,2.859144741507695
2020-01-13,New York State,2.9596615488263245
2020-01-13,New York City,2.9038188780937526
2020-01-20,Central Atlantic,2.9373244805332956
2020-01-20,New England,2.836807673214666
2020-01-20,New York State,2.9373244805332956
2020-01-20,New York City,2.870313275654209
2020-01-27,Central Atlantic,2.892650343947238
2020-01-27,New England,2.8144706049216373
2020-01-27,New York State,2.9038188780937526
2020-01-27,New York City,2.8256391390681515
2020-02-03,Central Atlantic,2.8423624357254837
2020-02-03,New England,2.76433680023498
2020-02-03,New York State,2.8535089550812702
2020-02-03,New York City,2.76433680023498
2020-02-10,Central Atlantic,2.7977763583023387
2020-02-10,New England,2.7308972421676216
2020-02-10,New York State,2.8312159163696977
2020-02-10,New York City,2.7308972421676216
2020-02-17,Central Atlantic,2.7977763583023387
2020-02-17,New England,2.719750722811835
2020-02-17,New York State,2.7977763583023387
2020-02-17,New York City,2.7086042034560496
2020-02-24,Central Atlantic,2.8312159163696977
2020-02-24,New England,2.7420437615234077
2020-02-24,New York State,2.7977763583023387
2020-02-24,New York City,2.7420437615234077
2020-03-02,Central Atlantic,2.792579129355439
2020-03-02,New England,2.725557230250909
2020-03-02,New York State,2.7814088128380177
2020-03-02,New York City,2.714386913733487
2020-03-09,Central Atlantic,2.7478978632857523
2020-03-09,New England,2.6808759641812214
2020-03-09,New York State,2.759068179803174
2020-03-09,New York City,2.6697056476638
2020-03-16,Central Atlantic,2.6361946981115345
2020-03-16,New England,2.5356618494547387
2020-03-16,New York State,2.658535331146378
2020-03-16,New York City,2.5691727990070037
2020-03-23,Central Atlantic,2.5244915329373168
2020-03-23,New England,2.390447734728256
