date,Central Atlantic,New England,New York State,New York City
2019-12-30,2.95558052434457,2.8878954741687397,2.9442996826485976,2.8878954741687397
2020-01-06,2.9772532444507487,2.876519112119708,2.966060563080633,2.910097156230055
2020-01-13,2.988445925820864,2.8653264307495925,2.966060563080633,2.910097156230055
2020-01-20,2.9436752003404014,2.8429410680093614,2.9436752003404014,2.876519112119708
2020-01-27,2.8989044748599393,2.8205557052691304,2.910097156230055,2.8317483866392457
2020-02-03,2.848507840340863,2.770313507468761,2.859678459322592,2.770313507468761
2020-02-10,2.8038253644139473,2.7368016505235744,2.8373372213591344,2.7368016505235744
2020-02-17,2.8038253644139473,2.7256310315418455,2.8038253644139473,2.7144604125601166
2020-02-24,2.8373372213591344,2.7479722695053033,2.8038253644139473,2.7479722695053033
2020-03-02,2.7986168986612285,2.731450093093359,2.787422431066584,2.7202556254987145
2020-03-09,2.753839028282649,2.6866722227147792,2.765033495877294,2.6754777551201347
2020-03-16,2.6418943523361995,2.5411441439843956,2.6642832875254894,2.5747275467683304
2020-03-23,2.5299496763897507,2.395616065254012,2.5747275467683304,2.496366273605816
2020-03-30,2.4291994680379463,2.2500879865236274,2.5075607412004612,2.418005000443302
2020-04-06,2.3846609864480106,2.182189770617519,2.4633997926043127,2.3734125855685386
2020-04-13,2.3396673829301236,2.1259477662201602,2.4184061890864257,2.3284189820506516
2020-04-20,2.305922180291708,2.092202563581745,2.3734125855685386,2.272176977653293
2020-04-27,2.2496801758943494,2.0584573609433297,2.31717058117118,2.2159349732559344
2020-05-04,2.2155852700537415,2.036548076514045,2.2827242176311278,2.193205620861279
2020-05-11,2.249154743842434,2.0813073748989694,2.3274835160160516,2.2379649192462034
2020-05-18,2.2827242176311278,2.103687024091431,2.3386733406122824,2.249154743842434
2020-05-25,2.3274835160160516,2.170825971668817,2.3610529898047443,2.2603445684386654
2020-06-01,2.347857317423043,2.168972950381287,2.3590375903631524,2.258415133902165
2020-06-08,2.381398136243372,2.2360545880219456,2.381398136243372,2.303136225662604
2020-06-15,2.4149389550637013,2.2807756797823844,2.392578409183482,2.3254967715428236
2020-06-22,2.4484797738840305,2.291955952722494,2.426119228003811,2.3590375903631524
2020-06-29,2.5043811385845793,2.347857317423043,2.4484797738840305,2.381398136243372
2020-07-06,2.4929816940738445,2.337170338194229,2.437334781259696,2.370558485882718
2020-07-13,2.504111076636674,2.3482997207570584,2.4484641638225257,2.370558485882718
2020-07-20,2.504111076636674,2.359429103319888,2.4484641638225257,2.359429103319888
2020-07-27,2.504111076636674,2.359429103319888,2.437334781259696,2.359429103319888
2020-08-03,2.494265657299685,2.3606442828014873,2.4385900845921022,2.3383740537184545
2020-08-10,2.494265657299685,2.3606442828014873,2.427454970050586,2.3383740537184545
2020-08-17,2.4831305427581682,2.3606442828014873,2.4163198555090695,2.3272389391769375
2020-08-24,2.4831305427581682,2.3606442828014873,2.4051847409675533,2.3383740537184545
2020-08-31,2.583346573631816,2.4051847409675533,2.4831305427581682,2.4385900845921022
2020-09-07,2.5625120277208655,2.3850220171427967,2.473767022431831,2.4072082684650553
2020-09-14,2.540325776398607,2.362835765820538,2.4404876454484437,2.362835765820538
2020-09-21,2.507046399415219,2.3517426401594093,2.418301394126185,2.3406495144982795
