date,countyfips,value,county,state
2020-06-27,09001,-11,Fairfield,CT
2020-06-27,09003,-4.31,Hartford,CT
2020-06-27,09005,-7.580000000000001,Litchfield,CT
2020-06-27,09009,-2.13,New Haven,CT
2020-06-27,34003,2.64,Bergen,NJ
2020-06-27,34017,-6.45,Hudson,NJ
2020-06-27,34025,7.9,Monmouth,NJ
2020-06-27,34027,-0.47600000000000003,Morris,NJ
2020-06-27,36059,-0.703,Nassau,NY
2020-06-27,36103,10.299999999999999,Suffolk,NY
2020-06-27,36119,-14.899999999999999,Westchester,NY
2020-06-28,09001,-10.100000000000001,Fairfield,CT
2020-06-28,09003,-4.93,Hartford,CT
2020-06-28,09005,-7.35,Litchfield,CT
2020-06-28,09009,-2.37,New Haven,CT
2020-06-28,34003,1.66,Bergen,NJ
2020-06-28,34017,-10.7,Hudson,NJ
2020-06-28,34025,7.180000000000001,Monmouth,NJ
2020-06-28,34027,-0.396,Morris,NJ
2020-06-28,36059,-2.55,Nassau,NY
2020-06-28,36103,9.27,Suffolk,NY
2020-06-28,36119,-15,Westchester,NY
2020-06-29,09001,-9.25,Fairfield,CT
2020-06-29,09003,-6.2,Hartford,CT
2020-06-29,09005,-9.04,Litchfield,CT
2020-06-29,09009,-1.55,New Haven,CT
2020-06-29,34003,2.4299999999999997,Bergen,NJ
2020-06-29,34017,-13.8,Hudson,NJ
2020-06-29,34025,8.05,Monmouth,NJ
2020-06-29,34027,0.779,Morris,NJ
2020-06-29,36059,-2.11,Nassau,NY
2020-06-29,36103,7.9799999999999995,Suffolk,NY
2020-06-29,36119,-12.3,Westchester,NY
2020-06-30,09001,-8.88,Fairfield,CT
2020-06-30,09003,-5.3,Hartford,CT
2020-06-30,09005,-6.63,Litchfield,CT
2020-06-30,09009,-0.264,New Haven,CT
2020-06-30,34003,5.6899999999999995,Bergen,NJ
2020-06-30,34017,-12.3,Hudson,NJ
2020-06-30,34025,11.700000000000001,Monmouth,NJ
2020-06-30,34027,1.03,Morris,NJ
2020-06-30,36059,-1.55,Nassau,NY
2020-06-30,36103,9.47,Suffolk,NY
2020-06-30,36119,-10.5,Westchester,NY
2020-07-01,09001,-7.180000000000001,Fairfield,CT
2020-07-01,09003,-6.15,Hartford,CT
2020-07-01,09005,-6.239999999999999,Litchfield,CT
2020-07-01,09009,0.8420000000000001,New Haven,CT
2020-07-01,34003,3.42,Bergen,NJ
2020-07-01,34017,-11.899999999999999,Hudson,NJ
2020-07-01,34025,13.3,Monmouth,NJ
2020-07-01,34027,3.5999999999999996,Morris,NJ
2020-07-01,36059,-2.39,Nassau,NY
2020-07-01,36103,9.22,Suffolk,NY
2020-07-01,36119,-11.200000000000001,Westchester,NY
2020-07-02,09001,-4.16,Fairfield,CT
2020-07-02,09003,-4.54,Hartford,CT
2020-07-02,09005,-4.89,Litchfield,CT
2020-07-02,09009,1.94,New Haven,CT
2020-07-02,34003,5.84,Bergen,NJ
2020-07-02,34017,-11.200000000000001,Hudson,NJ
2020-07-02,34025,13.900000000000002,Monmouth,NJ
2020-07-02,34027,2.91,Morris,NJ
2020-07-02,36059,-1.5699999999999998,Nassau,NY
2020-07-02,36103,9.790000000000001,Suffolk,NY
2020-07-02,36119,-9.959999999999999,Westchester,NY
2020-07-03,09001,-4.9399999999999995,Fairfield,CT
