date,countyfips,county,state,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2022-07-16,09005,Litchfield,CT,9.6,4.9,NA,NA,-20,2.1,-1.6
2022-07-16,09009,New Haven,CT,-7.7,-5.9,60.9,-1.9,-22.7,2.3,-1.9
2022-07-16,34003,Bergen,NJ,-8.7,-0.4,119,-8.4,-32,4.6,-4.4
2022-07-16,34017,Hudson,NJ,-16.1,-5.4,88.9,-27.4,-29.6,4.4,-4.2
2022-07-16,34025,Monmouth,NJ,2,10.9,250,0.9,-31.9,3,-2.6
2022-07-16,34027,Morris,NJ,-11.4,0.4,77.4,-29.7,-34.7,4.9,-4.6
2022-07-16,36059,Nassau,NY,-11.7,-8.4,156,-32.9,-33.9,4,-3.9
2022-07-16,36103,Suffolk,NY,-2.6,0.1,223,6.7,-24.6,1.9,-1.5
2022-07-16,36119,Westchester,NY,-11.3,-3.9,75.9,-19,-26.3,3,-2.6
2022-07-17,09001,Fairfield,CT,-7.9,-5.1,117,14.9,-29,2.1,-1.7
2022-07-17,09003,Hartford,CT,-8.3,-5.1,110,-20.4,-28.6,3.3,-2.9
2022-07-17,09005,Litchfield,CT,8.1,4.6,NA,NA,-20.1,2.3,-1.9
2022-07-17,09009,New Haven,CT,-7.9,-6,58.4,-1.9,-22.7,2.4,-2.2
2022-07-17,34003,Bergen,NJ,-9.4,-0.6,116,-8.9,-31.7,4.9,-5
2022-07-17,34017,Hudson,NJ,-15.7,-5.3,86.9,-27,-29.1,4.6,-4.4
2022-07-17,34025,Monmouth,NJ,1.3,10.4,233,-1,-31.9,3.1,-2.9
2022-07-17,34027,Morris,NJ,-11.1,0.4,75,-29.9,-35,5,-4.9
2022-07-17,36059,Nassau,NY,-12,-8.6,150,-33.6,-33.7,4.1,-4.2
2022-07-17,36103,Suffolk,NY,-2.7,0.1,214,6.4,-24.4,2,-1.7
2022-07-17,36119,Westchester,NY,-11.6,-4,72.4,-19,-26.3,3,-2.6
2022-07-18,09001,Fairfield,CT,-9.1,-6.6,102,14.3,-29.3,3.4,-3.2
2022-07-18,09003,Hartford,CT,-9.3,-6,96.9,-21,-28.7,4.3,-4.1
2022-07-18,09005,Litchfield,CT,7,4.3,NA,NA,-20.4,3.7,-3.6
2022-07-18,09009,New Haven,CT,-9.3,-7.3,49.1,-2.4,-23,3.6,-3.5
2022-07-18,34003,Bergen,NJ,-11,-2.9,102,-9,-31.9,6,-6.3
2022-07-18,34017,Hudson,NJ,-16.9,-6.6,74.9,-27.6,-29.3,5.6,-5.6
2022-07-18,34025,Monmouth,NJ,0.6,9.6,217,-1.9,-31.7,4,-4
2022-07-18,34027,Morris,NJ,-12.3,-0.9,65,-30.1,-35,6,-6.1
2022-07-18,36059,Nassau,NY,-12.7,-9.7,137,-33.9,-33.7,5,-5.2
2022-07-18,36103,Suffolk,NY,-3.3,-0.9,199,5.7,-24.4,3.1,-3.1
2022-07-18,36119,Westchester,NY,-13.7,-6.3,61.7,-19.9,-26.4,4.1,-4
2022-07-19,09001,Fairfield,CT,-9,-5.9,104,14,-29.3,4.1,-3.9
2022-07-19,09003,Hartford,CT,-9.1,-5.4,98.9,-20.7,-28.7,5,-4.8
2022-07-19,09005,Litchfield,CT,6.7,5.3,NA,NA,-20.4,4.6,-4.4
2022-07-19,09009,New Haven,CT,-9.1,-6.9,49.6,-2.3,-23.1,4.4,-4.4
2022-07-19,34003,Bergen,NJ,-10.7,-1.9,104,-8.6,-31.9,6.7,-7
2022-07-19,34017,Hudson,NJ,-16.4,-6.3,77.6,-27.4,-29.3,6.1,-6.2
2022-07-19,34025,Monmouth,NJ,0.6,9.9,220,-2,-31.7,4.7,-4.7
2022-07-19,34027,Morris,NJ,-12.1,-0.6,68.4,-30.1,-35,6.7,-6.8
2022-07-19,36059,Nassau,NY,-12.7,-9.6,140,-33.6,-33.6,5.7,-5.9
2022-07-19,36103,Suffolk,NY,-3.4,-0.6,205,5.4,-24.4,3.9,-3.8
2022-07-19,36119,Westchester,NY,-13.3,-5.4,63.4,-19.7,-26.4,5,-4.8
2022-07-20,09001,Fairfield,CT,-9.1,-6,101,13.6,-29.4,4.3,-4
2022-07-20,09003,Hartford,CT,-9.4,-5.3,95,-20.7,-28.7,5,-4.8
2022-07-20,09005,Litchfield,CT,6.6,5.1,NA,NA,-20.4,4.7,-4.6
2022-07-20,09009,New Haven,CT,-9.4,-6.9,47.3,-2.3,-23.3,4.6,-4.5
2022-07-20,34003,Bergen,NJ,-10.9,-1.9,99.9,-8.6,-31.9,6.9,-7.2
2022-07-20,34017,Hudson,NJ,-16.6,-6.6,74.4,-27.6,-29.3,6.3,-6.3
2022-07-20,34025,Monmouth,NJ,0.4,10,216,-1.7,-31.6,4.9,-4.8
2022-07-20,34027,Morris,NJ,-12.4,-0.6,67,-30.7,-35.1,6.7,-6.8
2022-07-20,36059,Nassau,NY,-12.9,-9.6,140,-33.4,-33.4,5.9,-6.1
2022-07-20,36103,Suffolk,NY,-3.6,-0.7,203,5.6,-24.4,3.9,-3.8
2022-07-20,36119,Westchester,NY,-13.4,-5.6,62.7,-19.9,-26.6,5.1,-5
2022-07-21,09001,Fairfield,CT,-9.1,-6,97,13.3,-29.4,4.3,-4
2022-07-21,09003,Hartford,CT,-10,-5.6,89.9,-20.9,-28.7,5.1,-5
2022-07-21,09005,Litchfield,CT,6.1,5.1,NA,NA,-20.6,4.9,-4.7
2022-07-21,09009,New Haven,CT,-9.6,-6.9,45.4,-2.3,-23.4,4.7,-4.7
2022-07-21,34003,Bergen,NJ,-10.9,-1.9,94.9,-8.7,-31.9,6.9,-7.2
2022-07-21,34017,Hudson,NJ,-16.7,-7.1,71.3,-27.7,-29.3,6.3,-6.3
2022-07-21,34025,Monmouth,NJ,0.1,9.9,210,-2.4,-31.6,5,-5
2022-07-21,34027,Morris,NJ,-12.6,-0.6,64.3,-31.3,-35.1,6.9,-6.9
2022-07-21,36059,Nassau,NY,-13,-9.7,142,-33.4,-33.4,5.9,-6.1
2022-07-21,36103,Suffolk,NY,-3.7,-0.7,201,5.4,-24.4,4,-3.9
2022-07-21,36119,Westchester,NY,-13.6,-5.9,59.3,-20,-26.6,5.3,-5.1
2022-07-22,09001,Fairfield,CT,-8.9,-5.6,94,13.1,-29.3,4.1,-3.9
2022-07-22,09003,Hartford,CT,-9.7,-5.1,82.1,-21.3,-28.9,5.1,-5
2022-07-22,09005,Litchfield,CT,6.3,6.3,NA,NA,-20.7,4.9,-4.7
2022-07-22,09009,New Haven,CT,-9,-6.6,42.9,-2.4,-23.6,4.7,-4.7
2022-07-22,34003,Bergen,NJ,-10.6,-1,87.3,-8.4,-31.7,6.7,-7.1
2022-07-22,34017,Hudson,NJ,-16.6,-6.7,68.7,-27.6,-29.3,6.3,-6.3
2022-07-22,34025,Monmouth,NJ,0.6,10.7,208,-2.3,-31.4,5,-5
2022-07-22,34027,Morris,NJ,-12.4,0,59,-31.6,-35,6.9,-6.9
2022-07-22,36059,Nassau,NY,-12.9,-9,139,-33.4,-33.4,5.7,-6
2022-07-22,36103,Suffolk,NY,-3.4,0,202,5.7,-24.4,4,-3.9
2022-07-22,36119,Westchester,NY,-13.1,-5.3,55.9,-20.1,-26.6,5.3,-5.1
2022-07-23,09001,Fairfield,CT,-8.7,-5.9,99.4,12.3,-29.3,4.1,-3.9
2022-07-23,09003,Hartford,CT,-9.6,-5.1,66.7,-22.9,-28.9,5.3,-5.2
2022-07-23,09005,Litchfield,CT,5.6,6.4,NA,NA,-20.4,5,-5
2022-07-23,09009,New Haven,CT,-8.9,-6.7,42.7,-2.3,-23.7,4.9,-4.9
2022-07-23,34003,Bergen,NJ,-10.3,-0.6,84.6,-8.4,-31.7,6.7,-7.1
2022-07-23,34017,Hudson,NJ,-16.6,-6.7,67.6,-27.9,-29.3,6.3,-6.3
2022-07-23,34025,Monmouth,NJ,0.9,11.3,218,-2.4,-31.4,5,-5
2022-07-23,34027,Morris,NJ,-12.6,0.1,56.7,-32.1,-35,6.9,-6.9
2022-07-23,36059,Nassau,NY,-12.7,-8.6,144,-33.7,-33.3,5.6,-5.7
2022-07-23,36103,Suffolk,NY,-3.3,0.3,214,5.7,-24.4,4,-3.9
2022-07-23,36119,Westchester,NY,-13.3,-5,57.3,-20.7,-26.6,5.3,-5.1
2022-07-24,09001,Fairfield,CT,-9,-6.4,97,10.9,-29.7,4.3,-4.2
2022-07-24,09003,Hartford,CT,-9.9,-5.6,60.1,-23.9,-28.9,5.6,-5.8
2022-07-24,09005,Litchfield,CT,5.3,6.3,NA,NA,-19.9,5.3,-5.6
2022-07-24,09009,New Haven,CT,-9.3,-7.1,39.6,-2.3,-23.9,5,-5.2
2022-07-24,34003,Bergen,NJ,-9.3,-0.7,80.4,-8.9,-31.9,6.7,-7.1
2022-07-24,34017,Hudson,NJ,-17.4,-7.3,64.4,-28.9,-29.7,6.4,-6.6
2022-07-24,34025,Monmouth,NJ,1.1,11.7,226,-1,-31.6,5.1,-5.2
2022-07-24,34027,Morris,NJ,-13.1,0,53,-32.1,-34.9,7,-7.2
